FID,ogc_fid,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon,,
da_camarasTrafico.fid--6de7be59_18145bf25a8_-3887,1100248,POINT (372777.70998260396 4066700.743709662),TV24-PTE. MEDITERRÁNEO, <div style='float: left, text-align: left'><img style='margin-right: 20px, max-width:240px,' src='https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-24.jpg'></div> <a href='https://movilidad.malaga.eu/es/servicios/camaras-de-trafico/distrito-7/tv-24/index.html'>Ver detalle cámara</a> ,,,,,-1,0,-1,0
da_camarasTrafico.fid--6de7be59_18145bf25a8_-3886,1100249,POINT (373012.33334127394 4067717.5141398488),TV25-RAMÓN Y CAJAL, <div style='float: left, text-align: left'><img style='margin-right: 20px, max-width:240px,' src='https://ctraficomovilidad.malaga.eu/cst_ctrafico/camara2025.jpg'></div> <a href='https://movilidad.malaga.eu/es/servicios/camaras-de-trafico/distrito-7/tv-25/index.html'>Ver detalle cámara</a> ,,,,,-1,0,-1,0
da_camarasTrafico.fid--6de7be59_18145bf25a8_-3885,1100250,POINT (373062.045590769 4067564.124010259),TV44-THUILLER, <div style='float: left, text-align: left'><img style='margin-right: 20px, max-width:240px,' src='https://ctraficomovilidad.malaga.eu/cst_ctrafico/camara2044.jpg'></div> <a href='https://movilidad.malaga.eu/es/servicios/camaras-de-trafico/distrito-5/tv-44/index.html'>Ver detalle cámara</a> ,,,,,-1,0,-1,0
da_camarasTrafico.fid--6de7be59_18145bf25a8_-3884,1100251,POINT (377218.50934078556 4064963.811787023),TV04-JS ELCANO-PILONES, <div style='float: left, text-align: left'><img style='margin-right: 20px, max-width:240px,' src='https://ctraficomovilidad.malaga.eu/cst_ctrafico/camara2004.jpg'></div> <a href='https://movilidad.malaga.eu/es/servicios/camaras-de-trafico/distrito-2/tv-04/index.html'>Ver detalle cámara</a> ,,,,,-1,0,-1,0
