FID,ogc_fid,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon
da_aparcamientosMovilidadReducida.fid--6de7be59_18145bf25a8_-3d4b,15705519,POINT (373085.5306417688 4066795.2588316165),ESTACIONAMIENTO PARA PMR," <div style='float: right; text-align: left'><img style='margin-right: 20px' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-pmr.png'></div> <b>Ubicación:</b> Av. Nuestra Señora de las Guías,6<br /> <b>N° Plazas: </b> 1<br /> <b>Descripción:</b> Frente a nº 6.<br /> ",,,,,-1,0,-1,0,
da_aparcamientosMovilidadReducida.fid--6de7be59_18145bf25a8_-3d4a,15705520,POINT (372879.77841981524 4065334.4369515693),ESTACIONAMIENTO PARA PMR," <div style='float: right; text-align: left'><img style='margin-right: 20px' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-pmr.png'></div> <b>Ubicación:</b> Cl. Don Rodrigo,1<br /> <b>N° Plazas: </b> 2<br /> <b>Descripción:</b> A la altura del nº 1.<br /> ",,,,,-1,0,-1,0,
da_aparcamientosMovilidadReducida.fid--6de7be59_18145bf25a8_-3d49,15705521,POINT (372366.3922980865 4065529.8185144053),ESTACIONAMIENTO PARA PMR," <div style='float: right; text-align: left'><img style='margin-right: 20px' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-pmr.png'></div> <b>Ubicación:</b> Av. Doctor Galvez Ginachero,23<br /> <b>N° Plazas: </b> 1<br /> <b>Descripción:</b> Esquina con c/ Sevilla<br /> ",,,,,-1,0,-1,0,
da_aparcamientosMovilidadReducida.fid--6de7be59_18145bf25a8_-3d48,15705522,POINT (373533.01074805413 4066542.2230937425),ESTACIONAMIENTO PARA PMR," <div style='float: right; text-align: left'><img style='margin-right: 20px' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-pmr.png'></div> <b>Ubicación:</b> Av. Manuel Gorria,42<br /> <b>N° Plazas: </b> 1<br /> <b>Descripción:</b> A la altura del nº 42<br /> ",,,,,-1,0,-1,0,
