FID,ogc_fid,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon
da_aparcamientosMoto.fid--6de7be59_18145bf25a8_-3e3d,3500531,POINT (372540.3560483575 4063903.0269514117),RESERVA DE MOTOS," <div style='float: right; text-align: left'><img style='margin-right: 20px' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-moto.png'></div> <b>Ubicación:</b> Plaza de Toros Vieja,6<br /> <b>Metros: </b> 24<br/> <b>Horario:</b> Laborables 8 a 20 h.<br/> <b>Descripción:</b> Esquina con Cl. Canales ",,,,,-1,0,-1,0,
da_aparcamientosMoto.fid--6de7be59_18145bf25a8_-3e3c,3500532,POINT (372406.6317434055 4064035.844292433),RESERVA DE MOTOS," <div style='float: right; text-align: left'><img style='margin-right: 20px' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-moto.png'></div> <b>Ubicación:</b> Plaza de Toros Vieja,18<br /> <b>Metros: </b> 13<br/> <b>Horario:</b> 24 h.<br/> <b>Descripción:</b> Esq. con Cl. Cuarteles ",,,,,-1,0,-1,0,
da_aparcamientosMoto.fid--6de7be59_18145bf25a8_-3e3b,3500533,POINT (372370.83896887663 4064810.5638361936),RESERVA DE MOTOS," <div style='float: right; text-align: left'><img style='margin-right: 20px' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-moto.png'></div> <b>Ubicación:</b> Cl. Armengual de la Mota,33<br /> <b>Metros: </b> 15<br/> <b>Horario:</b> Laborables 8 A 20 h.<br/> <b>Descripción:</b> Esq. con Cl. Enrique Scholtz ",,,,,-1,0,-1,0,
da_aparcamientosMoto.fid--6de7be59_18145bf25a8_-3e3a,3500534,POINT (372225.27255625714 4064561.960830424),RESERVA DE MOTOS," <div style='float: right; text-align: left'><img style='margin-right: 20px' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-moto.png'></div> <b>Ubicación:</b> Compositor Lehmberg Ruiz,2<br /> <b>Metros: </b> 25<br/> <b>Horario:</b> Laborables 8 a 21 h.<br/> <b>Descripción:</b> Esq. Hilera ",,,,,-1,0,-1,0,
