FID,residuo,recogida,volumen,cantidad,fecha,tooltip,geometry
da_rsu.fid--6de7be59_18145ca222d_-6afe,RSU,CARGA LATERAL,3200,1,2021-08-18T12:37:05.617,Contenedor de RSU de tipo CARGA LATERAL,POINT (371783.7962718549 4064560.627346402)
da_rsu.fid--6de7be59_18145ca222d_-6afd,RSU,CARGA LATERAL,3200,1,2021-08-18T15:02:42.623,Contenedor de RSU de tipo CARGA LATERAL,POINT (372521.2871097002 4068363.977497441)
da_rsu.fid--6de7be59_18145ca222d_-6afc,RSU,CARGA LATERAL,3200,1,2021-08-18T19:49:38.643,Contenedor de RSU de tipo CARGA LATERAL,POINT (368072.1176664621 4066943.729712261)
