FID,ogc_fid,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon
da_semaforosAcusticos.fid--6de7be59_18145bf25a8_-40bb,5015682,POINT (370352.98785534303 4062635.3095138455),SEMÁFOROS ACÚSTICOS," <div style='float: right; text-align: left'><img style='margin-right: 20px' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-semaforo.png'></div> <b>Ubicación:</b> Av. Europa,91<br /> <b>Semáforos:</b> 2<br /> <b>Descripción:</b> Intersección con Cl. Puerto Oncala ",,,,,-1,0,-1,0,
da_semaforosAcusticos.fid--6de7be59_18145bf25a8_-40ba,5015683,POINT (369948.1350936507 4062362.923070068),SEMÁFOROS ACÚSTICOS," <div style='float: right; text-align: left'><img style='margin-right: 20px' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-semaforo.png'></div> <b>Ubicación:</b> Av. Europa ,110<br /> <b>Semáforos:</b> 4<br /> <b>Descripción:</b> Intersección con Av. Isaac Peral ",,,,,-1,0,-1,0,
da_semaforosAcusticos.fid--6de7be59_18145bf25a8_-40b9,5015684,POINT (370261.07620418293 4062581.2788036307),SEMÁFOROS ACÚSTICOS," <div style='float: right; text-align: left'><img style='margin-right: 20px' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-semaforo.png'></div> <b>Ubicación:</b> Av. Europa,82<br /> <b>Semáforos:</b> 5<br /> <b>Descripción:</b> Intersección con Cl. Gaucín ",,,,,-1,0,-1,0,
