FID,ogc_fid,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon
da_cortesTrafico.fid--6de7be59_18145bf25a8_-38c7,632545,POINT (372976.6604173057 4065029.1240793513),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Plaza de los Mártires,<br /> <div style='width: 400px'> <b>Desde:</b> 04-04-2022 - <b>Hora inicio:</b> 08:00<br /> <b>Hasta:</b> 01-10-2022 - <b>Hora fin:</b> 18:00<br /> </div> <hr> <b>Afectación:</b> Ocupación de calzada<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Accesos puntuales de obra en Plaza de los Mártires para operaciones de carga y descarga.<br /> <b>Notas:</b> Hermanos Campano S.L</hr> ",,,,,-1,0,-1,0,
da_cortesTrafico.fid--6de7be59_18145bf25a8_-38c6,632546,POINT (373315.486920657 4064822.5246530133),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Cister,5<br /> <div style='width: 400px'> <b>Desde:</b> 13-04-2022 - <b>Hora inicio:</b> 07:00<br /> <b>Hasta:</b> 16-10-2022 - <b>Hora fin:</b> 12:00<br /> </div> <hr> <b>Afectación:</b> Ocupación de calzada<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Accesos puntuales de obra a calle Cister nº 5 para operaciones de carga y descarga de materiales de obra.<br /> <b>Notas:</b> MDG Advisor S.L</hr> ",,,,,-1,0,-1,0,
da_cortesTrafico.fid--6de7be59_18145bf25a8_-38c5,632547,POINT (367449.00027384906 4063542.00039559),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Avenida Ortega y Gasset ,336<br /> <div style='width: 400px'> <b>Desde:</b> 16-05-2022 - <b>Hora inicio:</b> 08:00<br /> <b>Hasta:</b> 17-07-2022 - <b>Hora fin:</b> 20:00<br /> </div> <hr> <b>Afectación:</b> Corte<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Saneamiento y abastecimiento de agua.<br /> <b>Notas:</b> Sacyr</hr> ",,,,,-1,0,-1,0,
da_cortesTrafico.fid--6de7be59_18145bf25a8_-38c4,632548,POINT (371348.99967012554 4064630.0000722003),AFECTACIÓN," <div style='float: right; text-align: left'><img style='margin-right: 20px; padding-bottom: 50px' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-obras.png'></div> <b>Ubicación:</b> Simeón Giménez Reyna,2<br /> <div style='width: 400px'> <b>Desde:</b> 01-06-2022 - <b>Hora inicio:</b> 08:00<br /> <b>Hasta:</b> 02-07-2022 - <b>Hora fin:</b> 20:00<br /> </div> <hr> <b>Afectación:</b> Corte<br /> <b>Tipo de Corte:</b> Obras<br /> <b>Descripción:</b> Operaciones de reparación de cubiertas.<br /> <b>Notas:</b> Carlos Moya Construcciones SL</hr> ",,,,,-1,0,-1,0,
