FID,residuo,recogida,volumen,cantidad,fecha,tooltip,geometry
da_industria.fid--6de7be59_18145cc14ec_7ccd,INDUSTRIA,CARGA TRASERA,5000,1,2022-01-12T10:28:17.71,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367486.18381071737 4061589.2824351555)
da_industria.fid--6de7be59_18145cc14ec_7cce,INDUSTRIA,CARGA TRASERA,5000,1,2022-01-12T10:28:33.843,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367488.78526248573 4061588.9438566803)
da_industria.fid--6de7be59_18145cc14ec_7ccf,INDUSTRIA,CARGA TRASERA,5000,1,2022-01-12T10:24:44.253,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367491.0650176615 4061587.178286256)
