FID,ogc_fid,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon,,
da_camarasTrafico.fid-678917ee_17fa274e705_102a,1079675,POINT (-4.424923000000033 36.7375120359454),TV24-PTE. MEDITERRÁNEO, <div style='float: left, text-align: left'><img style='margin-right: 20px, max-width:240px,' src='https://www.malaga.eu/recursos/movilidad/camaras_trafico/TV-24.jpg'></div> <a href='https://movilidad.malaga.eu/es/servicios/camaras-de-trafico/distrito-7/tv-24/index.html'>Ver detalle cámara</a> ,,,,,-1,0,-1,0
da_camarasTrafico.fid-678917ee_17fa274e705_102b,1079676,POINT (-4.422465012257606 36.74670663938404),TV25-RAMÓN Y CAJAL, <div style='float: left, text-align: left'><img style='margin-right: 20px, max-width:240px,' src='https://ctraficomovilidad.malaga.eu/cst_ctrafico/camara2025.jpg'></div> <a href='https://movilidad.malaga.eu/es/servicios/camaras-de-trafico/distrito-7/tv-25/index.html'>Ver detalle cámara</a> ,,,,,-1,0,-1,0
da_camarasTrafico.fid-678917ee_17fa274e705_102c,1079677,POINT (-4.421882802692908 36.7453309370422),TV44-THUILLER, <div style='float: left, text-align: left'><img style='margin-right: 20px, max-width:240px,' src='https://ctraficomovilidad.malaga.eu/cst_ctrafico/camara2044.jpg'></div> <a href='https://movilidad.malaga.eu/es/servicios/camaras-de-trafico/distrito-5/tv-44/index.html'>Ver detalle cámara</a> ,,,,,-1,0,-1,0
