FID,ogc_fid,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon,,
da_camarasTrafico.fid-678917ee_17fa23c26a4_27a,1079589,POINT (372777.70998260396 4066700.743709662),TV24-PTE. MEDITERRÁNEO, <div style='float: left, text-align: left'><img style='margin-right: 20px, max-width:240px,' src='https://www.malaga.eu/recursos/movilidad/camaras_trafico/TV-24.jpg'></div> <a href='https://movilidad.malaga.eu/es/servicios/camaras-de-trafico/distrito-7/tv-24/index.html'>Ver detalle cámara</a> ,,,,,-1,0,-1,0
da_camarasTrafico.fid-678917ee_17fa23c26a4_27b,1079590,POINT (373012.33334127394 4067717.5141398488),TV25-RAMÓN Y CAJAL, <div style='float: left, text-align: left'><img style='margin-right: 20px, max-width:240px,' src='https://ctraficomovilidad.malaga.eu/cst_ctrafico/camara2025.jpg'></div> <a href='https://movilidad.malaga.eu/es/servicios/camaras-de-trafico/distrito-7/tv-25/index.html'>Ver detalle cámara</a> ,,,,,-1,0,-1,0
